brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,log_km_driven,brand_grouped,fuel_type_grouped,km_per_year
Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000,11.695255355062795,11.695255355062795,Maruti,Petrol,13333.333333333334
Hyundai,Grand i10,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,13.217675375388819,9.90353755128617,Hyundai,Petrol,4000.0
Hyundai,i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000,12.278397958261774,11.002116507732017,Hyundai,Petrol,5454.545454545455
Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000,12.328294703023394,10.518700218288165,Maruti,Petrol,4111.111111111111
Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000,13.25339339419516,10.308985993422082,Ford,Diesel,5000.0
Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000,12.765691290604371,10.463131911491967,Maruti,Petrol,4375.0
Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000,12.660331092405906,10.596659732783579,Hyundai,Petrol,5000.0
Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000,12.923914877701906,9.770698741272664,Maruti,Petrol,5837.333333333333
Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000,13.864301674514206,9.90353755128617,Hyundai,Petrol,10000.0
Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000,13.144126826131089,10.251394166783005,Maruti,Petrol,7080.25
Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000,12.959846800844963,11.086425670893206,Hyundai,Diesel,8159.75
Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000,13.527829818844937,10.819798284210286,Renault,Diesel,10000.0
Mini,Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000,14.99416586199818,8.699681400989514,Mini,Petrol,1500.0
Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000,13.384729180332174,11.23850177707664,Maruti,Diesel,15200.0
Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000,13.348703414510117,9.90353755128617,Maruti,Diesel,4000.0
Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000,14.169683073439028,11.082157933374816,Mercedes-Benz,Diesel,9285.714285714286
